document_id,char_range,frame_range,name,media
1,"[1,4264)","[0,8019)",database_explorer,"{""video"": ""database_explorer.mp4""}"
2,"[4264,11977)","[8019,24159)",presenter_pro,"{""video"": ""presenter_pro.mp4""}"
